condition,params,accuracy_mean,accuracy_sd,nll_mean,nll_sd,copy_acc,assoc_acc,xor_acc,delta_vs_transformer,boot95_lo,boot95_hi
transformer,17128,0.46679687599999997,0.01047246529222609,1.586339744,0.05921321678633733,0.99971591,0.316071428,0.059226188,,,
ema54_mix,17128,0.6680664040000001,0.04983029191659106,1.012863842,0.136095813072895,1.0,0.926190474,0.06220238,0.20126952800000003,0.149218748,0.23242187200000003
static54_mix,17128,0.46953125,0.007748148287165116,1.643257656,0.19138439934195736,1.0,0.323809524,0.05952381,0.002734373999999995,-0.00390625,0.009765622000000007
dyn12_mix,17128,0.578906252,0.06192188193968,1.269875136,0.15996443129113957,1.0,0.6541666660000001,0.062499997999999994,0.112109376,0.05761718600000001,0.16660156599999998
dyn42_mix,17128,0.580078124,0.05899318540884727,1.263042964,0.15005095955567058,1.0,0.661607142,0.058630952,0.11328124800000001,0.06171874800000001,0.16923827800000002
dyn54_mix,17128,0.611523436,0.04696214743868971,1.187788838,0.12452080439465293,1.0,0.7625,0.05357143,0.14472656,0.10087890400000002,0.18857421600000002
gru,17312,0.059570312,0.004708814496236816,2.77651661,0.0033514381555759774,0.053977274,0.060416666,0.064583334,-0.407226564,-0.41923828399999996,-0.39677734600000003
